timestamp_ns,total_ticks,tps_current,tps_avg,throughput,latency_min_ns,latency_med_ns,latency_max_ns,errors,cpu_percent,ram_percent
28436162923803,588000,155352,185980,185979934,1035,1606,1026075,0,100.00,84.11
28436267917231,604000,156948,185073,185073050,1035,1606,1026075,0,100.00,85.00
28436364933457,625000,209886,185811,185811131,1035,1606,1026075,0,100.00,85.01
28436460980971,647000,217406,186734,186733880,1035,1606,1026075,0,100.00,84.91
28436582214731,671000,217891,187694,187693852,1035,1606,1026075,0,100.00,85.14
28436683118168,683000,116724,185710,185710019,1035,1606,1026075,0,100.00,85.10
28436788749834,696000,126441,184098,184098185,1035,1606,1026075,0,100.00,85.17
28436876692817,707000,109682,182175,182175104,1035,1606,1026075,0,100.00,84.94
28436980732457,723000,153985,181440,181440023,1035,1606,1026075,0,100.00,84.86
28437088477297,742000,176535,181311,181311031,1035,1606,1026075,0,100.00,84.92
28437192370026,763000,207793,181949,181949232,1035,1606,1026075,0,100.00,85.37
28437292191223,789000,252757,183645,183644550,1035,1606,1026075,0,100.00,85.48
28437401353899,809000,194645,183901,183901493,1035,1606,1026075,0,100.00,84.19
28437534125860,819000,92899,181728,181727870,1035,1606,1026075,0,100.00,84.40
28437608803765,834000,145869,180928,180927928,1035,1606,1026075,0,100.00,83.48
28437738638164,837000,24908,176955,176955166,1035,1606,1026075,0,100.00,83.19
28437831769355,857000,195237,177343,177342716,1035,1606,1026075,0,100.00,83.00
28437937629777,878000,208806,177984,177984170,1035,1606,1026075,0,100.00,83.10
28438029203879,890000,119894,176829,176828999,1035,1606,1026075,0,98.77,83.02
28438134855832,915000,248686,178236,178236128,1035,1606,1026075,0,100.00,83.37
28438240835054,944000,284058,180300,180299560,1035,1606,1026075,0,100.00,83.54
28438339765394,972000,275036,182107,182106510,1035,1606,1026075,0,100.00,83.29
28438441384819,1004000,301979,184440,184440042,1035,1606,1026075,0,100.00,83.24
28438539965259,1031000,267921,185957,185957434,1035,1606,1026075,0,100.00,83.43
28438648582940,1065000,336849,188655,188655350,1035,1606,1026075,0,100.00,83.50
28438742820978,1085000,196781,188799,188799063,1035,1606,1026075,0,100.00,83.61
28438853785816,1136000,497639,194210,194210127,1035,1606,1026075,0,98.80,83.62
28438949809600,1152000,158375,193602,193601722,1035,1606,1026075,0,100.00,83.70
28439048505065,1173000,209117,193859,193859226,1035,1606,1026075,0,100.00,83.76
28439177809842,1190000,152298,193106,193106411,1035,1606,1026075,0,100.00,84.93
28439270300439,1196000,57904,190871,190870577,1035,1606,1026075,0,100.00,85.13
28439373128548,1219000,230000,191485,191485233,1035,1606,1026075,0,100.00,85.41
28439465797168,1234000,147376,190791,190791118,1035,1606,1026075,0,100.00,85.81
28439571541311,1251000,165042,190387,190387475,1035,1606,1026075,0,100.00,85.95
28439680275755,1271000,191119,190399,190398945,1035,1606,1026075,0,100.00,86.23
28439789509925,1301000,278469,191798,191797690,1035,1606,1026075,0,100.00,86.58
28439880777278,1321000,197028,191875,191874807,1035,1606,1026075,0,100.00,86.64
28439987727634,1345000,237897,192539,192539446,1035,1606,1026075,0,100.00,86.60
28440086717262,1367000,211610,192819,192819105,1035,1606,1026075,0,98.81,86.49
28440195263622,1388000,197709,192891,192891286,1035,1606,1026075,0,100.00,86.78
28440298973527,1413000,232927,193480,193479675,1035,1606,1026075,0,100.00,86.69
28440421955328,1442000,277635,194666,194666344,1035,1606,1026075,0,100.00,86.12
28440539840365,1453000,92986,193068,193068036,1035,1606,1026075,0,100.00,86.38
28440631524000,1465000,116770,192040,192040224,1035,1606,1026075,0,100.00,86.65
28440736792649,1484000,172989,191770,191769830,1035,1606,1026075,0,100.00,86.97
28440852183471,1501000,169249,191481,191481253,1035,1606,1026075,0,100.00,86.76
28440958544741,1509000,78457,190030,190029945,1035,1606,1026075,0,100.00,86.92
28441040808639,1516000,67439,188448,188448209,1035,1606,1026075,0,100.00,87.07
28441152880905,1529000,127381,187683,187683204,1035,1606,1026075,0,100.00,87.12
28441245135415,1550000,205124,187900,187899658,1035,1606,1026075,0,100.00,87.36
