23375 mmap(0x7327b607a000, 12608, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x7327b607a000
23375 mmap(NULL, 950296, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 5, 0) = 0x7327b7917000
23375 mmap(0x7327b7927000, 520192, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 5, 0x10000) = 0x7327b7927000
23375 mmap(0x7327b79a6000, 360448, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 5, 0x8f000) = 0x7327b79a6000
23375 mmap(0x7327b79fe000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 5, 0xe7000) = 0x7327b79fe000
23375 mmap(NULL, 185256, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 5, 0) = 0x7327b7c3b000
23375 mmap(0x7327b7c3f000, 147456, PROT_READ|PROT_EXEC, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 5, 0x4000) = 0x7327b7c3f000
23375 mmap(0x7327b7c63000, 16384, PROT_READ, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 5, 0x28000) = 0x7327b7c63000
23375 mmap(0x7327b7c67000, 8192, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_DENYWRITE, 5, 0x2b000) = 0x7327b7c67000
23375 mmap(NULL, 8392704, PROT_NONE, MAP_PRIVATE|MAP_ANONYMOUS|MAP_STACK, -1, 0) = 0x7327b55ff000
23389 mmap(NULL, 134217728, PROT_NONE, MAP_PRIVATE|MAP_ANONYMOUS, -1, 0) = 0x7327ad400000
23375 mmap(NULL, 8192, PROT_NONE, MAP_SHARED|MAP_ANONYMOUS, -1, 0) = 0x7327b7d2c000
23375 mmap(0x7327b7d2c000, 4096, PROT_READ|PROT_WRITE, MAP_SHARED|MAP_FIXED, 6, 0x1008cd000) = 0x7327b7d2c000
23375 mmap(NULL, 10485760, PROT_NONE, MAP_SHARED|MAP_ANONYMOUS, -1, 0) = 0x7327b4bff000
23375 mmap(0x7327b4c00000, 8388608, PROT_READ|PROT_WRITE, MAP_SHARED|MAP_FIXED, 6, 0x101f61000) = 0x7327b4c00000
23375 mmap(NULL, 8192, PROT_NONE, MAP_SHARED|MAP_ANONYMOUS, -1, 0) = 0x7327b7d2a000
23375 mmap(0x7327b7d2a000, 4096, PROT_READ|PROT_WRITE, MAP_SHARED|MAP_FIXED, 6, 0x100fe4000) = 0x7327b7d2a000
23375 mmap(NULL, 10485760, PROT_NONE, MAP_SHARED|MAP_ANONYMOUS, -1, 0) = 0x7327b41ff000
23375 mmap(0x7327b4200000, 8388608, PROT_READ|PROT_WRITE, MAP_SHARED|MAP_FIXED, 6, 0x10a82a000) = 0x7327b4200000
23375 mmap(NULL, 8192, PROT_NONE, MAP_SHARED|MAP_ANONYMOUS, -1, 0) = 0x7327b7d28000
23375 mmap(0x7327b7d28000, 4096, PROT_READ|PROT_WRITE, MAP_SHARED|MAP_FIXED, 6, 0x100fe5000) = 0x7327b7d28000
23375 mmap(NULL, 10485760, PROT_NONE, MAP_SHARED|MAP_ANONYMOUS, -1, 0) = 0x7327af600000
23375 mmap(0x7327af600000, 8388608, PROT_READ|PROT_WRITE, MAP_SHARED|MAP_FIXED, 6, 0x10942b000) = 0x7327af600000
23375 mmap(NULL, 77715, PROT_READ, MAP_PRIVATE, 7, 0) = 0x7327b7c28000
23375 mmap(NULL, 705888, PROT_READ, MAP_PRIVATE|MAP_DENYWRITE, 7, 0) = 0x7327b6153000
