[121383862760349] ANOMALY: btc_near_miss_or_valid = 4.0000000000 | Src: src/btc_mining_engine.c:491 btc_mining_thread()
[121383863404439] ANOMALY: btc_near_miss_or_valid = 9.0000000000 | Src: src/btc_mining_engine.c:491 btc_mining_thread()
[121383863974959] ANOMALY: btc_near_miss_or_valid = 11.0000000000 | Src: src/btc_mining_engine.c:491 btc_mining_thread()
[121383868189409] ANOMALY: btc_near_miss_or_valid = 12.0000000000 | Src: src/btc_mining_engine.c:491 btc_mining_thread()
[121383889850828] ANOMALY: btc_near_miss_or_valid = 17.0000000000 | Src: src/btc_mining_engine.c:491 btc_mining_thread()
[121383931780348] ANOMALY: btc_near_miss_or_valid = 20.0000000000 | Src: src/btc_mining_engine.c:491 btc_mining_thread()
[121418623718646] ANOMALY: btc_near_miss_or_valid = 26.0000000000 | Src: src/btc_mining_engine.c:491 btc_mining_thread()
[123352118228635] ANOMALY: btc_near_miss_or_valid = 3.0000000000 | Src: src/btc_mining_engine.c:491 btc_mining_thread()
[123352118630905] ANOMALY: btc_near_miss_or_valid = 4.0000000000 | Src: src/btc_mining_engine.c:491 btc_mining_thread()
[123352119103055] ANOMALY: btc_near_miss_or_valid = 8.0000000000 | Src: src/btc_mining_engine.c:491 btc_mining_thread()
[123352119463385] ANOMALY: btc_near_miss_or_valid = 10.0000000000 | Src: src/btc_mining_engine.c:491 btc_mining_thread()
[123352120381215] ANOMALY: btc_near_miss_or_valid = 11.0000000000 | Src: src/btc_mining_engine.c:491 btc_mining_thread()
[123352122623475] ANOMALY: btc_near_miss_or_valid = 12.0000000000 | Src: src/btc_mining_engine.c:491 btc_mining_thread()
[123352140079055] ANOMALY: btc_near_miss_or_valid = 16.0000000000 | Src: src/btc_mining_engine.c:491 btc_mining_thread()
[123352163045505] ANOMALY: btc_near_miss_or_valid = 19.0000000000 | Src: src/btc_mining_engine.c:491 btc_mining_thread()
[123352527149702] ANOMALY: btc_near_miss_or_valid = 20.0000000000 | Src: src/btc_mining_engine.c:491 btc_mining_thread()
[123380581167091] ANOMALY: btc_near_miss_or_valid = 24.0000000000 | Src: src/btc_mining_engine.c:491 btc_mining_thread()
[15911964960342] ANOMALY: btc_near_miss_or_valid = 3.0000000000 | Src: src/btc_mining_engine.c:491 btc_mining_thread()
[15911965586152] ANOMALY: btc_near_miss_or_valid = 4.0000000000 | Src: src/btc_mining_engine.c:491 btc_mining_thread()
