=== C398 SHA256 Minimal Test ===

Device: Intel(R) UHD Graphics 620
Kernel source: 5366 bytes
Building kernel...
Build successful!
Binary size: 63392 bytes
Binary saved to kernels/btc_sha256_c398.bin

Executing kernel with 256 threads...

Results:
  Thread 254: nonce=254 leading_zeros=3 result=0x000300FE
  Thread 255: nonce=255 leading_zeros=2 result=0x000200FF

Best result:
  Nonce: 198
  Leading zeros: 6 bits
  Result: 0x000600C6

✅ SUCCESS: Found hash with 6 leading zero bits!

=== Test Complete ===
