# tracer: nop
#
# entries-in-buffer/entries-written: 6493/6493   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          bobide-73658   [007] d.h2. 11183.229043: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4d, 0x0)
          bobide-73658   [007] d.h3. 11183.229044: i915_reg_rw: read reg=0x70000, len=4, val=(0x437, 0x0)
          bobide-73658   [007] d.h2. 11183.229045: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4d, 0x0)
   kworker/u33:1-57411   [007] ..... 11183.229098: intel_frontbuffer_flush: dev 0000:00:02.0, frontbuffer_bits=0x00000001, origin=2
          bobide-73329   [006] ..... 11183.231363: i915_request_queue: dev=1, engine=0:0, ctx=127, seqno=108006, flags=0x0
          bobide-73329   [006] ..... 11183.231367: i915_request_add: dev=1, engine=0:0, ctx=127, seqno=108006, tail=7912
     kworker/7:0-83001   [007] ..... 11183.233437: i915_request_retire: dev=1, engine=0:0, ctx=127, seqno=108006, tail=12696
     ksoftirqd/7-60      [007] d.H2. 11183.236469: i915_reg_rw: write reg=0x20a8, len=4, val=(0xfffff6f6, 0x0)
     kworker/7:0-83001   [007] ..... 11183.236666: i915_request_retire: dev=1, engine=0:0, ctx=5, seqno=714741, tail=2856
     kworker/7:0-83001   [007] d.h3. 11183.236669: i915_reg_rw: write reg=0x20a8, len=4, val=(0xfffff6f7, 0x0)
     kworker/7:0-83001   [007] ..... 11183.236687: i915_reg_rw: read reg=0x8504, len=4, val=(0xfc004c3, 0x0)
     gnome-shell-14986   [003] ..... 11183.238728: i915_request_queue: dev=1, engine=0:0, ctx=30, seqno=1685150, flags=0x0
     gnome-shell-14986   [003] ..... 11183.238730: i915_request_add: dev=1, engine=0:0, ctx=30, seqno=1685150, tail=10856
     gnome-shell-14986   [003] ..... 11183.238865: i915_request_queue: dev=1, engine=0:0, ctx=30, seqno=1685152, flags=0x0
     gnome-shell-14986   [003] ..... 11183.238865: i915_request_add: dev=1, engine=0:0, ctx=30, seqno=1685152, tail=368
   kworker/u33:1-57411   [007] d.h3. 11183.239110: i915_reg_rw: write reg=0x20a8, len=4, val=(0xfffff6f6, 0x0)
   kworker/u33:1-57411   [007] ..... 11183.239119: i915_request_wait_begin: dev=1, engine=0:0, ctx=30, seqno=1685150, flags=0x2
    system-probe-13293   [007] d.h2. 11183.240254: i915_reg_rw: write reg=0x20a8, len=4, val=(0xfffff6f7, 0x0)
   kworker/u33:1-57411   [000] ..... 11183.240255: i915_request_wait_end: dev=1, engine=0:0, ctx=30, seqno=1685150, tail=2208
   kworker/u33:1-57411   [000] ..... 11183.240276: intel_plane_update_noarm: dev 0000:00:02.0, pipe A, plane 1A, frame=671565, scanline=711, format=XR30 little-endian (0x30335258), 1920.000000x1080.000000+0.000000+0.000000 -> 1920x1080+0+0
   kworker/u33:1-57411   [000] ...2. 11183.240278: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4d, 0x0)
   kworker/u33:1-57411   [000] d..3. 11183.240279: i915_reg_rw: read reg=0x70000, len=4, val=(0x2c6, 0x0)
   kworker/u33:1-57411   [000] ..... 11183.240281: i915_reg_rw: write reg=0x70188, len=4, val=(0xf, 0x0)
   kworker/u33:1-57411   [000] ..... 11183.240281: i915_reg_rw: write reg=0x7018c, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [000] ..... 11183.240281: i915_reg_rw: write reg=0x70190, len=4, val=(0x437077f, 0x0)
   kworker/u33:1-57411   [000] ..... 11183.240282: i915_reg_rw: write reg=0x70240, len=4, val=(0x80000016, 0x0)
   kworker/u33:1-57411   [000] ..... 11183.240283: i915_reg_rw: write reg=0x70244, len=4, val=(0x8000c02b, 0x0)
   kworker/u33:1-57411   [000] ..... 11183.240283: i915_reg_rw: write reg=0x70248, len=4, val=(0x8000c02f, 0x0)
   kworker/u33:1-57411   [000] ..... 11183.240283: i915_reg_rw: write reg=0x7024c, len=4, val=(0x8001003b, 0x0)
   kworker/u33:1-57411   [000] ..... 11183.240284: i915_reg_rw: write reg=0x70250, len=4, val=(0x8001805c, 0x0)
   kworker/u33:1-57411   [000] ..... 11183.240284: i915_reg_rw: write reg=0x70254, len=4, val=(0x8001c06b, 0x0)
   kworker/u33:1-57411   [000] ..... 11183.240285: i915_reg_rw: write reg=0x70258, len=4, val=(0x8001c06b, 0x0)
   kworker/u33:1-57411   [000] ..... 11183.240285: i915_reg_rw: write reg=0x7025c, len=4, val=(0x8002007a, 0x0)
   kworker/u33:1-57411   [000] ..... 11183.240286: i915_reg_rw: write reg=0x70268, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [000] ..... 11183.240286: i915_reg_rw: write reg=0x7027c, len=4, val=(0x35b0000, 0x0)
   kworker/u33:1-57411   [000] ..... 11183.240287: i915_reg_rw: write reg=0x70278, len=4, val=(0x0, 0x0)
     kworker/7:0-83001   [007] ..... 11183.240287: i915_request_retire: dev=1, engine=0:0, ctx=30, seqno=1685150, tail=2208
   kworker/u33:1-57411   [000] d.... 11183.240290: intel_pipe_update_start: dev 0000:00:02.0, pipe A, frame=671565, scanline=712, min=1073, max=1079
     kworker/7:0-83001   [007] ..... 11183.240290: i915_request_retire: dev=1, engine=0:0, ctx=30, seqno=1685152, tail=2392
   kworker/u33:1-57411   [000] d..2. 11183.240290: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4d, 0x0)
   kworker/u33:1-57411   [000] d..3. 11183.240291: i915_reg_rw: read reg=0x70000, len=4, val=(0x2c7, 0x0)
   kworker/u33:1-57411   [000] d..1. 11183.240291: i915_reg_rw: read reg=0x70000, len=4, val=(0x2c7, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240292: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4d, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240293: intel_pipe_update_vblank_evaded: dev 0000:00:02.0, pipe A, frame=671565, scanline=712, min=1073, max=1079
   kworker/u33:1-57411   [000] d.... 11183.240294: i915_reg_rw: write reg=0x70030, len=4, val=(0x50, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240296: intel_plane_update_arm: dev 0000:00:02.0, pipe A, plane 1A, frame=671565, scanline=712, format=XR30 little-endian (0x30335258), 1920.000000x1080.000000+0.000000+0.000000 -> 1920x1080+0+0
   kworker/u33:1-57411   [000] d..2. 11183.240296: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4d, 0x0)
   kworker/u33:1-57411   [000] d..3. 11183.240297: i915_reg_rw: read reg=0x70000, len=4, val=(0x2c7, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240298: i915_reg_rw: write reg=0x70194, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240299: i915_reg_rw: write reg=0x70198, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240299: i915_reg_rw: write reg=0x701a0, len=4, val=(0xff000000, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240299: i915_reg_rw: write reg=0x701a4, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240300: i915_reg_rw: write reg=0x701c0, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240300: i915_reg_rw: write reg=0x701c4, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240301: i915_reg_rw: write reg=0x70180, len=4, val=(0xc2042400, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240301: i915_reg_rw: write reg=0x7019c, len=4, val=(0x1c00000, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240302: intel_scaler_disable_arm: dev 0000:00:02.0, pipe A, scaler 0, frame=671565, scanline=713
   kworker/u33:1-57411   [000] d..2. 11183.240303: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4d, 0x0)
   kworker/u33:1-57411   [000] d..3. 11183.240303: i915_reg_rw: read reg=0x70000, len=4, val=(0x2c8, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240303: i915_reg_rw: write reg=0x68180, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240304: i915_reg_rw: write reg=0x68170, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240304: i915_reg_rw: write reg=0x68174, len=4, val=(0x0, 0x0)
   kworker/u33:1-57411   [000] d.... 11183.240304: intel_scaler_disable_arm: dev 0000:00:02.0, pipe A, scaler 1, frame=671565, scanline=713
   kworker/u33:1-57411   [000] d..2. 11183.240305: i915_reg_rw: read reg=0x70040, len=4, val=(0xa3f4d, 0x0)
   kworker/u33:1-57411   [000] d..3. 11183.240305: i915_reg_rw: read reg=0x70000, len=4, val=(0x2c8, 0x0)
