ptr,size,timestamp_alloc,timestamp_free,lifetime_ns,source,active
0x5dedc24f0bc0,72,485267570098,0,494157668,malloc,1
0x5dedc24f0c10,50,485267570359,0,494158620,malloc,1
0x5dedc24efe60,1187,485267574369,485267586210,11841,malloc,0
0x5dedc24f0d60,35,485267575435,485267585661,10226,malloc,0
0x5dedc24f0310,1187,485267578045,0,494154756,malloc,1
0x5dedc24f1c90,35,485267578354,485267585091,6737,malloc,0
0x5dedc24f0c50,72,485267583390,0,494151955,malloc,1
0x5dedc24f0ca0,35,485267583682,0,494152913,malloc,1
0x5dedc24f2a90,1199,485267587839,485267595700,7861,malloc,0
0x5dedc24f0b40,45,485267588384,485267595094,6710,malloc,0
0x5dedc24f2f50,1199,485267592304,0,494148095,malloc,1
0x5dedc24f0b80,45,485267592651,485267594414,1763,malloc,0
0x5dedc24f0cd0,72,485267593028,0,494149932,malloc,1
0x5dedc24f0d20,45,485267593473,0,494150718,malloc,1
0x5dedc24f3410,2572,485267597207,485267606632,9425,malloc,0
0x5dedc24f0d60,31,485267598123,485267605915,7792,malloc,0
0x5dedc24f3e30,2572,485267602292,0,494145660,malloc,1
0x5dedc24f1c90,30,485267602886,485267605269,2383,malloc,0
0x5dedc24f07c0,72,485267603809,0,494146572,malloc,1
0x5dedc24f0810,30,485267604128,0,494147517,malloc,1
0x5dedc24f3410,2277,485267607523,485267616064,8541,malloc,0
0x5dedc24f0d60,40,485267608334,485267615414,7080,malloc,0
0x5dedc24f4850,2277,485267612507,0,494142833,malloc,1
0x5dedc24f1c90,40,485267613008,485267614716,1708,malloc,0
0x5dedc24f3d00,72,485267613390,0,494144415,malloc,1
0x5dedc24f3d50,40,485267613630,0,494145409,malloc,1
0x5dedc24f5140,6530,485267621358,485267802728,181370,malloc,0
0x5dedc24f0b40,41,485267622570,485267802192,179622,malloc,0
0x5dedc24f6ad0,6530,485267792604,0,493970365,malloc,1
0x5dedc24f0b80,41,485267798111,485267801212,3101,malloc,0
0x5dedc24f3d80,72,485267798728,0,493966674,malloc,1
0x5dedc24f3dd0,41,485267799195,0,493967469,malloc,1
0x5dedc24f8460,6550,485267808467,485267820380,11913,malloc,0
0x5dedc24f0b40,51,485267809590,485267819805,10215,malloc,0
0x5dedc24f9e00,6550,485267813335,0,493957115,malloc,1
0x5dedc24f0b80,51,485267817125,485267819128,2003,malloc,0
0x5dedc24f0840,72,485267817686,0,493955195,malloc,1
0x5dedc24f0890,51,485267817997,0,493956115,malloc,1
0x5dedc24f5140,6468,485267822220,485267831586,9366,malloc,0
0x5dedc24f0b40,41,485267823178,485267830970,7792,malloc,0
0x5dedc24f8460,6468,485267823775,0,493953985,malloc,1
0x5dedc24f0b80,41,485267824428,485267830238,5810,malloc,0
0x5dedc24f9db0,72,485267824801,0,493955376,malloc,1
0x5dedc24f6a90,41,485267825165,0,493956247,malloc,1
0x5dedc24fb7a0,6484,485267930844,485267945575,14731,malloc,0
0x5dedc24f0b40,51,485267936503,485267945011,8508,malloc,0
0x5dedc24fd100,6484,485267940377,0,493844666,malloc,1
0x5dedc24f0b80,51,485267941367,485267944380,3013,malloc,0
0x5dedc24f08d0,72,485267941906,0,493845521,malloc,1
0x5dedc24f0920,51,485267942181,0,493846465,malloc,1
0x5dedc24f0960,360,485267946624,485267950992,4368,malloc,0
0x5dedc24f0d60,40,485267947144,485267950371,3227,malloc,0
0x5dedc24efe60,360,485267948067,0,493844151,malloc,1
