problem,step,energy_norm,pairing_norm,sign_ratio,cpu_percent,mem_percent,elapsed_ns
topological_correlated_materials,5000,0.0086403864,0.8251158620,-0.1733333333,21.82,66.06,4224422052
topological_correlated_materials,10000,0.0086404704,0.8233018713,-0.1377777778,20.00,65.91,8464923266
topological_correlated_materials,12500,0.0086405037,0.8239649123,-0.2000000000,21.85,61.63,10623169244
correlated_fermions_non_hubbard,2000,0.0117684251,0.7708781747,0.2857142857,31.20,61.87,1716630729
correlated_fermions_non_hubbard,5000,0.0117686176,0.7684044367,0.2527472527,47.10,63.17,4387095740
correlated_fermions_non_hubbard,10000,0.0117687545,0.7652823523,0.3186813187,47.22,65.52,8888703591
correlated_fermions_non_hubbard,12000,0.0117687545,0.7651824222,0.3186813187,36.77,66.06,10415418799
multi_state_excited_chemistry,2000,0.0108794042,0.8549201974,0.2820512821,20.78,65.88,1684911902
multi_state_excited_chemistry,5000,0.0108796572,0.8523832325,0.2051282051,19.88,65.83,4199648660
multi_state_excited_chemistry,10000,0.0108798906,0.8498564379,0.3205128205,17.97,65.77,8373438552
multi_state_excited_chemistry,11500,0.0108798917,0.8498583554,0.3333333333,20.74,65.70,9666386948
bosonic_multimode_systems,2000,0.0077003021,0.7004389015,0.4642857143,18.83,65.68,1681318533
bosonic_multimode_systems,5000,0.0077003925,0.6961652915,0.3928571429,19.84,65.68,4213350633
bosonic_multimode_systems,10000,0.0077003924,0.6963522879,0.3928571429,25.15,66.02,8494827125
bosonic_multimode_systems,11000,0.0077003924,0.6965951203,0.3809523810,26.05,66.70,9341302014
multiscale_nonlinear_field_models,2000,0.0119400747,0.6941615331,0.1145833333,18.55,66.73,1680325914
multiscale_nonlinear_field_models,5000,0.0119402359,0.6900323111,0.1458333333,18.59,66.74,4208062286
multiscale_nonlinear_field_models,10000,0.0119402343,0.6899152578,0.1354166667,21.94,64.80,8464659752
multiscale_nonlinear_field_models,11500,0.0119402337,0.6898558101,0.1458333333,20.23,64.78,9688058141
far_from_equilibrium_kinetic_lattices,2000,0.0102159497,0.6430248418,0.1897435897,20.05,64.78,1683202836
far_from_equilibrium_kinetic_lattices,5000,0.0102160212,0.6378634441,0.2410256410,18.35,64.78,4204942628
far_from_equilibrium_kinetic_lattices,10000,0.0102160184,0.6372233128,0.2410256410,19.04,64.74,8405207029
far_from_equilibrium_kinetic_lattices,12000,0.0102160189,0.6372326004,0.2410256410,22.18,60.72,10165315575
multi_correlated_fermion_boson_networks,2000,0.0094060234,0.7463335724,0.0306122449,17.74,60.72,1679822796
multi_correlated_fermion_boson_networks,5000,0.0094060297,0.7466448238,0.0204081633,38.24,61.65,4364333318
multi_correlated_fermion_boson_networks,10000,0.0094060345,0.7469334992,-0.0102040816,22.08,61.80,8493787502
multi_correlated_fermion_boson_networks,11750,0.0094060584,0.7474547772,-0.0408163265,23.69,60.92,10061541394
ed_validation_2x2,2000,0.1848108232,0.8276822074,0.0000000000,30.07,59.70,1684172728
ed_validation_2x2,5000,0.1848108232,0.8276822074,0.0000000000,17.71,59.44,4163247045
ed_validation_2x2,10000,0.1848108232,0.8276822074,0.0000000000,18.14,59.41,8280440083
ed_validation_2x2,20000,0.1848108232,0.8276822074,0.0000000000,25.84,60.59,16635017978
fermionic_sign_problem,2000,0.0241243560,0.9324297883,0.0138888889,31.98,60.67,1733575938
fermionic_sign_problem,5000,0.0241247376,0.9318415316,-0.0694444444,21.59,60.72,4207497687
fermionic_sign_problem,10000,0.0241247569,0.9318359644,-0.0833333333,32.74,61.72,8589223341
fermionic_sign_problem,15000,0.0241251506,0.9312671749,-0.1666666667,19.23,61.52,12587177127
