190794440126975,cpu=10.5263%,mem=81.5589%,rss=7800KB,peak=604968KB,avail=12143080KB
190794443168895,cpu=66.6667%,mem=81.5589%,rss=7800KB,peak=604968KB,avail=12143080KB
190794447306984,cpu=100.0000%,mem=81.5589%,rss=7800KB,peak=604968KB,avail=12143080KB
190794452436764,cpu=75.0000%,mem=81.5589%,rss=7800KB,peak=604968KB,avail=12143080KB
190794460874093,cpu=83.3333%,mem=81.5589%,rss=7800KB,peak=604968KB,avail=12143080KB
190794462294633,cpu=66.6667%,mem=81.5584%,rss=7800KB,peak=604968KB,avail=12143400KB
190794462843503,cpu=0.0000%,mem=81.5584%,rss=7800KB,peak=604968KB,avail=12143400KB
190799440785270,cpu=60.9895%,mem=81.5744%,rss=7800KB,peak=604968KB,avail=12132824KB
190799444414390,cpu=100.0000%,mem=81.5744%,rss=7800KB,peak=604968KB,avail=12132824KB
190799446971430,cpu=50.0000%,mem=81.5744%,rss=7800KB,peak=604968KB,avail=12132824KB
190799455334389,cpu=83.3333%,mem=81.5744%,rss=7800KB,peak=604968KB,avail=12132824KB
190799457062609,cpu=50.0000%,mem=81.5744%,rss=7800KB,peak=604968KB,avail=12132824KB
190799465106399,cpu=80.0000%,mem=81.5744%,rss=7800KB,peak=604968KB,avail=12132824KB
190799465215369,cpu=0.0000%,mem=81.5744%,rss=7800KB,peak=604968KB,avail=12132824KB
190799467215649,cpu=50.0000%,mem=81.5744%,rss=7800KB,peak=604968KB,avail=12132824KB
190804441724996,cpu=62.5742%,mem=81.5906%,rss=7800KB,peak=604968KB,avail=12122168KB
190804444469525,cpu=75.0000%,mem=81.5906%,rss=7800KB,peak=604968KB,avail=12122168KB
190804449820875,cpu=100.0000%,mem=81.5906%,rss=7800KB,peak=604968KB,avail=12122168KB
190804456273295,cpu=66.6667%,mem=81.5906%,rss=7800KB,peak=604968KB,avail=12122168KB
190804460504835,cpu=100.0000%,mem=81.5906%,rss=7800KB,peak=604968KB,avail=12122168KB
190804467398674,cpu=75.0000%,mem=81.5906%,rss=7800KB,peak=604968KB,avail=12122168KB
190804468869564,cpu=50.0000%,mem=81.5906%,rss=7800KB,peak=604968KB,avail=12122168KB
190804471638314,cpu=100.0000%,mem=81.5906%,rss=7800KB,peak=604968KB,avail=12122168KB
190809446873331,cpu=70.7030%,mem=81.7240%,rss=7800KB,peak=604968KB,avail=12034316KB
190809447510160,cpu=50.0000%,mem=81.7240%,rss=7800KB,peak=604968KB,avail=12034316KB
190809454172710,cpu=100.0000%,mem=81.7240%,rss=7800KB,peak=604968KB,avail=12034316KB
190809457396170,cpu=100.0000%,mem=81.7246%,rss=7800KB,peak=604968KB,avail=12033968KB
190809460787850,cpu=100.0000%,mem=81.7246%,rss=7800KB,peak=604968KB,avail=12033968KB
190809474044449,cpu=72.7273%,mem=81.7232%,rss=7800KB,peak=604968KB,avail=12034888KB
190809475653749,cpu=0.0000%,mem=81.7232%,rss=7800KB,peak=604968KB,avail=12034888KB
190809478120018,cpu=100.0000%,mem=81.7232%,rss=7800KB,peak=604968KB,avail=12034888KB
190814450285135,cpu=64.8058%,mem=81.7776%,rss=7800KB,peak=604968KB,avail=11999044KB
190814451363985,cpu=100.0000%,mem=81.7776%,rss=7800KB,peak=604968KB,avail=11999044KB
190814454556765,cpu=100.0000%,mem=81.7776%,rss=7800KB,peak=604968KB,avail=11999044KB
190814462335934,cpu=85.7143%,mem=81.7776%,rss=7800KB,peak=604968KB,avail=11999052KB
190814464606044,cpu=100.0000%,mem=81.7776%,rss=7800KB,peak=604968KB,avail=11999052KB
190814477365353,cpu=80.0000%,mem=81.7776%,rss=7800KB,peak=604968KB,avail=11999052KB
190814481372553,cpu=66.6667%,mem=81.7776%,rss=7800KB,peak=604968KB,avail=11999052KB
190814483356063,cpu=100.0000%,mem=81.7776%,rss=7800KB,peak=604968KB,avail=11999052KB
190819453869619,cpu=61.6093%,mem=81.8029%,rss=7800KB,peak=604968KB,avail=11982392KB
190819456545579,cpu=50.0000%,mem=81.8029%,rss=7800KB,peak=604968KB,avail=11982392KB
190819460971268,cpu=100.0000%,mem=81.8029%,rss=7800KB,peak=604968KB,avail=11982392KB
190819468503488,cpu=40.0000%,mem=81.8029%,rss=7800KB,peak=604968KB,avail=11982392KB
190819471268208,cpu=100.0000%,mem=81.8029%,rss=7800KB,peak=604968KB,avail=11982392KB
190819484042807,cpu=75.0000%,mem=81.8029%,rss=7800KB,peak=604968KB,avail=11982392KB
190819484357037,cpu=0.0000%,mem=81.8029%,rss=7800KB,peak=604968KB,avail=11982392KB
190819484953277,cpu=0.0000%,mem=81.8029%,rss=7800KB,peak=604968KB,avail=11982392KB
190824460315302,cpu=67.5916%,mem=81.8514%,rss=7800KB,peak=604968KB,avail=11950468KB
190824463791392,cpu=100.0000%,mem=81.8514%,rss=7800KB,peak=604968KB,avail=11950468KB
